"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.881","","","","","","","","","","","","","","","","23.513","","","29.882","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.095","","","","2.551","","8.864","","","16.285","","","14.543","8.547","","","","",
"Africa Western and Central","AFW","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.57024268649785","","","4.91745008363954","","","",
"Angola","AGO","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.129","","","","","11.412","17.691","33.196","","","17.87","","","","","33.375","30.385","30.962","26.744","20.991","26.991","",
"Albania","ALB","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.111","","","14.947","","27.592","26.878","26.157","29.615","24.762","32.278","33.645","43.614","39.535","37.694","33.679","29.508","27.764","26.97","25.44","23.775","24.778","22.276","",
"Andorra","AND","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6955458561391","","","","","23.402433955232","","","","","","","","","","","",
"United Arab Emirates","ARE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.545","","","","","","","","","","","5.089","5.605","5.016","5.192","12.461","7.111","6.204","4.499","3.032","",
"Argentina","ARG","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.642","22.886","19.666","","16.528","18.838","16.575","16.529","15.281","16.989","16.708","","","19.863","20.849","23.867","26.805","20.772","17.597","16.7","4.929","",
"Armenia","ARM","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.184","","","","","","","37.153","37.822","32.388","35.139","31.487","31.877","30.607","27.988","29.506","32.81","20.961","21.606","22.427","20.373","25.19","18.377","","",
"American Samoa","ASM","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.297","","","","","","","","","","","","","","","","","22.012","","","","","","","",
"Australia","AUS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","11.727","11.352","10.181","13.279","19.399","17.516","15.561","15.268","15.039","13.374","10.659","13.23","18.561","20.765","19.715","17.424","15.537","16.41","16.93","15.315","13.745","12.894","14.594","13.792","12.608","11.846","10.886","10.552","9.476","9.017","12.482","11.947","11.94","12.456","13.041","14.11","14.241","13.834","13.679","12.79","12.279","14.999","12.512","9.326","9.175","10.474","",
"Austria","AUT","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","4.298","4.661","4.937","4.195","3.542","4.643","4.195","3.593","3.804","3.984","4.242","4.729","","5.684","7.149","7.792","7.404","5.542","6.918","6.224","7.665","8.035","11.138","11.863","10.199","9.517","8.761","11.562","9.851","9.102","9.763","9.51","10.914","11.58","12.35","10.964","9.687","9.518","11.453","11.772","10.355","10.691","10.874","12.834",
"Azerbaijan","AZE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.038","19.183","18.945","18.699","17.21","15.618","14.598","15.234","15.32","15.632","12.85","13.9","14.23","12.19","12.007","11.48","11.39","11.285","11.101","11.047","10.358","12.975","12.872","12.103","","","",
"Burundi","BDI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.973","","","","","","","","","","","","","","","","5.409","","","","","","","","4.408","","","","","","2.091","","","","","",
